variableID,Corr,LReg,Lasso,MIC,RF,RFE,Ridge,Stablity,Mean
x1,0.3,1.0,0.79,0.39,0.55,1.0,0.77,0.77,0.7
x2,0.44,0.56,0.83,0.61,0.67,1.0,0.75,0.72,0.7
x3,0.0,0.5,0.0,0.34,0.13,1.0,0.05,0.0,0.25
x4,1.0,0.57,1.0,1.0,0.56,1.0,1.0,1.0,0.89
x5,0.1,0.27,0.51,0.2,0.29,0.78,0.88,0.55,0.45
x6,0.0,0.02,0.0,0.0,0.01,0.44,0.05,0.0,0.06
x7,0.01,0.0,0.0,0.07,0.02,0.0,0.01,0.0,0.01
x8,0.02,0.03,0.0,0.05,0.01,0.56,0.09,0.0,0.1
x9,0.01,0.0,0.0,0.09,0.01,0.11,0.0,0.0,0.03
x10,0.0,0.01,0.0,0.04,0.0,0.33,0.01,0.0,0.05
x11,0.29,0.6,0.0,0.43,0.39,1.0,0.59,0.37,0.46
x12,0.44,0.14,0.0,0.71,0.35,0.67,0.68,0.46,0.43
x13,0.0,0.48,0.0,0.23,0.07,0.89,0.02,0.0,0.21
x14,0.99,0.0,0.16,1.0,1.0,0.22,0.95,0.62,0.6